,title,genres,developer,publisher,release_date
7585,Salvaged,"['Action', ' Strategy', ' Early Access']",Opposable Games,Opposable Games,2016-11-17
7593,Fractasia,['Design & Illustration'],Start VR,Start VR,2016-11-17
7621,Robot Incursion,['Action'],MobileFusion Apps Ltd,MobileFusion Apps Ltd,2016-11-21
7623,,,,,
7624,,,,,
7625,,,,,
7630,,,,,
7638,Gary the Gull,['Adventure'],Motional Entertainment,Limitless Ltd,2016-11-22
7674,,,,,
7682,Pinball FX2 VR,['Simulation'],Zen Studios,Zen Studios,2016-11-29
7694,Draco Dux,"['Action', ' Adventure', ' Indie']",BraveDev,BraveDev,
7697,Snowday,"['Action', ' Early Access']",Breachgate,Breachgate,2016-11-30
7701,,,,,
7710,Driftwatch VR,['Action'],Sevenedge Interactive Media,Sevenedge Interactive Media,2016-12-01
7719,,,,,
7727,Theme Park Studio,"['Indie', ' Simulation']",Pantera Entertainment,Pantera Entertainment,2016-12-02
7735,Snakes on an Extradimensional Plane,"['Action', ' Indie']",Team Neon Snakes,Fox Buchele,2016-12-05
7750,,,,,
7751,,,,,
7752,Kingspray Graffiti VR,['Simulation'],Andrew Bates,Infectious Ape,2016-12-06
7756,,,,,
7757,,,,,
7758,,,,,
7772,,,,,
7790,,,,,
7796,Broken Blue,"['Casual', ' Free to Play', ' Indie', ' Simulation']",BacklotRealities,"Cacti Council, BacklotRealities",2016-12-05
7798,WackyMoles,"['Action', ' Casual', ' Simulation', ' Sports']",CrystalGame,CrystalGame,2016-12-12
7800,,,,,
7802,Bleach,,,,2004-10-05
7806,Tornuffalo,['Action'],RealityRig,RealityRig,2016-12-12
7837,Wipe Out VR,['Simulation'],PnagaeaVR,PnagaeaVR,2016-11-10
7844,Arma 3 Community Guide Series,,,,2013-03-07
7856,Children of Colossus,"['Action', ' Indie']",Colossus Interactive,Colossus Interactive,2016-12-15
7863,Alpine Ski VR,"['Casual', ' Racing', ' Sports']",Suchworks Ltd,Suchworks Ltd,2016-12-16
7865,,,,,
7866,Snow Fortress,"['Action', ' Casual', ' Indie', ' Simulation', ' Strategy']",Mythical City Games,Mythical City Games,2016-12-16
7877,Dragon Skies VR,"['Action', ' Adventure', ' RPG']",Tristan Hodges,FoxLeap Games,2016-12-01
7883,FriendShip,['Casual'],Grayson Malinowski,2Tall Inc.,2016-12-16
7884,VR Apocalypse,"['Action', ' Indie', ' Early Access']",NextGen Games,NextGen Games,2016-12-16
7885,,,,,
7886,Fast Break,,,,2008-12-01
7887,Smash Party VR,"['Action', ' Casual', ' Indie', ' Early Access']",Viacom NEXT,Viacom NEXT,2016-12-18
7890,Arcane,['Action'],Offpeak Games,Offpeak Games,2016-12-19
7894,Fastigium,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG']",ifgames studio,ifgames studio,2016-12-17
7909,Drone Hunter VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",VR VISIO,Forever Entertainment S. A.,2016-12-21
7914,SwingStar VR,"['Action', ' Adventure', ' Simulation']",Computer Lunch,Computer Lunch,2016-12-20
7917,Eagle Flight,"['Action', ' Simulation']",Ubisoft Montreal Studio,Ubisoft,2016-12-20
7923,Santa Sling,"['Casual', ' Indie', ' Simulation']","8th Shore, Inc.","8th Shore, Inc.",2016-12-20
7925,,,,,
7930,Chunky Orbits,['Simulation'],Don Whitaker,Brain Blinks,2015-09-08
7932,Robot City Stadium,"['Action', ' Casual', ' Indie', ' Sports', ' Early Access']",Virtual Vengeance,Virtual Vengeance,2016-12-21
7934,TacoFace,"['Casual', ' Indie']",KLNK Inc.,KLNK Inc.,2016-12-21
7939,Blueshift,"['Casual', ' Free to Play', ' Indie', ' Racing', ' Simulation', ' Early Access']",Zach Tsiakalis-Brown,Zulubo Productions,2016-12-21
7941,House of Meditation,['Education'],Cerevrum Inc.,Cerevrum Inc.,2016-12-22
7944,Battle Dome,['Action'],Bad Bird Studios,,2017-06-08
7947,Pinheads Bowling VR,"['Action', ' Casual', ' Simulation', ' Sports', ' Early Access']","Midnight Studios, Inc.","Midnight Studios, Inc.",2016-12-22
7948,VR Monster Awakens,"['Action', ' Indie', ' Simulation', ' Early Access']",FIGHT4DREAM LIMITED,FIGHT4DREAM LIMITED,2016-12-22
7949,VR Photo Viewer,['Utilities'],SprocketVR,SprocketVR,2017-06-22
7950,Danger Room,"['Action', ' Indie']",Actually Sane Studios,Actually Sane Studios,2016-12-22
7951,Weird creatures,"['Action', ' Indie']",mchernykh,mchernykh,2016-12-22
7953,Cosmos Crash VR,"['Casual', ' Indie']","Viriver Network Technology Co., Ltd.","Viriver Network Technology Co., Ltd.",2016-09-01
7960,,,,,
7963,Borealis,,,,2016-12-23
7964,,,,,
7978,Clazer,"['Simulation', ' Sports', ' Early Access']","SynapticSwitch, LLC","SynapticSwitch, LLC, LeadTech, LLC",2016-12-27
7980,Christmas Massacre VR,"['Action', ' Indie']",AndAll Interactive,AndAll Interactive,2016-12-27
7984,,,,,
7985,Wave Magic VR,"['Action', ' Indie', ' RPG', ' Early Access']",Overrun Games,Overrun Games,2016-12-29
7989,Space Badminton VR,['Sports'],Shashitha Kularatna,Shashitha Kularatna,2016-12-29
7991,VR Snowballs,['Casual'],Zabuza Labs,Zabuza Labs,2016-12-29
7995,,,,,
7997,HVR,"['Action', ' Indie', ' Simulation']",Andre Le,Andre Le,2016-12-30
8004,3D Organon VR Anatomy,['Education'],Medis Media,Medis Media,2016-12-09
8006,Spooky Night,"['Action', ' Casual', ' Free to Play', ' Indie', ' Strategy']",AurealStudio,AurealStudio,2016-11-14
8008,Equilibrium VR,"['Action', ' Adventure', ' Casual', ' Indie']",Funny Twins,Funny Twins,2017-01-07
8010,Escape the Bunker,"['Adventure', ' Casual', ' Indie']","Virtual Escapes, Inc.","Virtual Escapes, Inc.",2017-01-02
8011,Marimba VR,"['Casual', ' Indie', ' Simulation']",Ruby Games,Ruby Games,2017-01-02
8015,The Rainbow Kid,,,,2016-11-01
8018,,,,,
8019,,,,,
8020,RAYGUN COMMANDO VR,"['Casual', ' Free to Play', ' Indie']",Chun Y.,Chun Y.,2017-01-23
8022,,,,,
8031,,,,,
8036,GoalkeepVr,"['Action', ' Simulation', ' Sports']",DigitalBadger Design,DigitalBadger Design,2017-01-06
8040,vRhythm,"['Indie', ' Early Access']",Pixelpointer Studios,Pixelpointer Studios,2017-09-07
8052,Beats Fever,"['Action', ' Casual', ' Indie', ' Sports']",Arrowiz,Arrowiz,2017-01-10
8066,Lucid Trips,"['Adventure', ' Indie', ' Early Access']","Nico Uthe, Sara Lisa Vogl, Julian Heinken","Sara Lisa Vogl, VR Nerds",2017-01-12
8067,VRSailing by BeTomorrow,"['Indie', ' Simulation', ' Sports']",BeTomorrow,BeTomorrow,2017-01-12
8075,Space Slam,"['Action', ' Indie']",;),Quickdraw Studios,2017-01-12
8076,,,,,
8078,Embrace The Fear,"['Action', ' Adventure', ' Simulation']",世纪龙信息网络有限责任公司,世纪龙信息网络有限责任公司,2017-01-12
8079,Beach Bowling Dream VR,"['Casual', ' Indie', ' Sports']","Lucid Dreams VR, LLC","Lucid Dreams VR, LLC",2017-01-13
8080,Fractal,"['Action', ' Adventure', ' Indie', ' Early Access']",Phosphene Designs LLC,Phosphene Designs LLC,2017-01-12
8083,Blackwater Bayou VR,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG', ' Simulation']",Virtual Rage Studios LLC,Virtual Rage Studios LLC,2017-01-13
8084,,,,,
8085,Haywire,,,,2012-05-01
8086,,,,,
8088,Judge Archer,,,,2016-11-01
8089,The Grand Canyon VR Experience,"['Adventure', ' Casual', ' Indie', ' Simulation']","Immersive Entertainment, Inc.","Immersive Entertainment, Inc",2017-01-13
8094,HORROR OF THE DEEP,"['Action', ' Adventure', ' Casual', ' Indie', ' Early Access']",DRUNKEN APES,DRUNKEN APES,2017-01-13
8098,,,,,
8101,GridVR,['Action'],iPOL,iPOL,2017-01-17
8104,Puzzle Island VR,"['Casual', ' Early Access']",Interaction Ideas GmbH,Interaction Ideas GmbH,2017-01-17
8109,Starship Disco,"['Action', ' Indie']","Solus Games, Inc.","Solus Games, Inc.",2017-01-17
8119,Go North,,,,2017-01-13
8121,Come and Find Me,,,,2016-11-11
8122,Huntwatch,,,,2017-01-17
8143,HVRGUN,"['Action', ' Indie', ' Early Access']",Jonathan Bartram,"Jonathan Bartram, Thomas Bartram",2017-01-19
8152,The Physiology of the Eye,"['Casual', ' Simulation']",Intervoke,Intervoke,2017-01-19
8169,Siege And Destroy,"['Action', ' Casual', ' Indie', ' Early Access']",Makketron LLC,Makketron LLC,2017-01-23
8175,,,,,
8182,,,,,
8202,Snowman,"['Action', ' Indie', ' Sports']",,,2017-01-27
8208,Magic Lantern,"['Adventure', ' Free to Play', ' Simulation']",Parovoz Animation Studio,Interactive Moolt,2017-01-29
8211,,,,,
8217,,,,,
8234,King Kaiju,"['Indie', ' Simulation']",Fire Hose Games,Fire Hose Games,2017-01-31
8236,Snailiens,"['Action', ' Indie', ' Strategy', ' Early Access']",562 Interactive,562 Interactive LLC.,2017-01-31
8237,Brush Up VR,"['Casual', ' Indie', ' Early Access']",Games That Work,Games That Work,2017-02-01
8241,Snow Games VR,['Action'],Kenziko Ltd.,Kenziko Ltd.,2017-01-30
8273,Hollywood Hills Mansion,,"LOOT Interactive, LLC","LOOT Interactive, LLC",2017-02-02
8282,Goalie Challenge VR,"['Free to Play', ' Simulation', ' Sports']",Josh Beatty,modulR,2017-02-01
8285,SpaceJourney VR,"['Adventure', ' Indie', ' Simulation']",GEESCAN,GEESCAN,2017-01-19
8308,Tomorrow,['Adventure'],Future Lighthouse,Future Lighthouse,2017-02-08
8309,,,,,
8312,PowersVR,"['Action', ' Simulation', ' Early Access']",Pseudocode Games,Pseudocode Games,2017-02-08
8313,I Am Road Comic,,,,2014-08-26
8327,Vision Therapy VR,['Education'],Cerevrum Inc.,Cerevrum Inc.,2017-02-05
8341,Defuser VR,"['Action', ' Casual', ' Indie']",Niki Odolphie,Somerset Online Ltd,2017-02-11
8364,,,,,
8375,,,,,
8377,,,,,
8378,,,,,
8379,Tim Minchin And The Heritage Orchestra Live At Royal Albert,,,,2011-11-14
8381,,,,,
8385,DEFCON VR,"['Indie', ' Strategy']",Introversion Software,Introversion Software,2017-02-15
8392,,,,,
8396,HOMEBOUND,"['Action', ' Adventure', ' Casual']",Quixel,Quixel,2017-02-16
8406,,,,,
8418,,,,,
8423,IrreVRsible,"['Action', ' Indie']",Raptor-Lab,Raptor-Lab,2016-05-24
8428,Neon Arena,"['Action', ' Casual', ' Indie']",Axyos Games,Axyos Games,2017-02-20
8445,,,,,
8446,Game of Aces,,,,2016-09-09
8447,,,,,
8448,,,,,
8453,,,,,
8455,Climbtime,"['Casual', ' Indie']",Saluda Systems,Saluda Systems,2017-05-03
8460,MixCast Studio,"['Education', ' Utilities', ' Video Production']",Blueprint Reality Inc.,Blueprint Reality Inc.,2017-02-22
8467,,,,,
8468,Stolen Steel VR,"['Action', ' Casual', ' Indie', ' Simulation']",Impromptu Games,Impromptu Games,2017-02-22
8481,Skills Hockey VR,"['Sports', ' Early Access']",Justin Jimmo,Justin Jimmo,2017-02-23
8483,VR Meditation SkyRun,['Education'],Weekend Soft,Weekend Soft,2017-02-23
8484,Seabed Prelude,"['Adventure', ' Casual', ' Indie', ' Simulation']",MythicOwl,MythicOwl,2017-02-24
8487,Magazime Editor,"['Action', ' Indie', ' Simulation']",,,2017-02-24
8492,Zombie in my city,"['Action', ' Indie', ' Early Access']",SkyKan,SkyKan,2017-02-24
8501,LookVR,['Utilities'],Looker,Looker,2017-02-27
8504,HeapVR,"['Casual', ' Free to Play', ' Strategy']",Richard Fox - Development,Propeller Labs,2017-02-27
8506,,,,,
8516,Constellation Distantia,"['Action', ' Adventure', ' Indie', ' Strategy']",Skanerbotten,Skanerbotten,2017-02-28
8519,Room Designer VR,"['Design & Illustration', ' Early Access']",productivity-boost.com,productivity-boost.com,2017-02-28
8529,airRevo VR,"['Action', ' Casual', ' Indie']",IndieRevo,IndieRevo,2017-03-01
8533,,,,,
8536,Roomscale Coaster,"['Action', ' Casual', ' Sports']",Blue Entropy Studios,Blue Entropy Studios,2017-03-01
8538,,,,,
8540,,,,,
8546,Light And Dance VR,"['Simulation', ' Sports']",Hermann Fischer,Hermann Fischer,2017-03-03
8547,Lighting End VR,"['Casual', ' Indie']",Time of Virtual Reality,Time of Virtual Reality,
8559,Diesel Power,"['Action', ' Casual', ' Indie', ' Racing']",Irmas Ibric,Irmas Ibric,2017-03-03
8568,Deadly Hunter VR,"['Action', ' Adventure', ' RPG', ' Simulation', ' Sports', ' Strategy']",Leiting Interactive,Leiting Interactive,2017-06-19
8581,,,,,
8589,994 W 24th,"['Casual', ' Indie', ' Early Access']",Fat Finger Foundry,Fat Finger Foundry,2017-04-11
8596,Plevr,['Utilities'],Fervr Labs,Fervr Labs,2017-03-08
8603,,,,,
8607,,,,,
8613,GIPHY Museum of GIF Art,['Design & Illustration'],OONI,GIPHY Arts,2017-03-08
8614,Cowboy zombie,"['Casual', ' Indie', ' Simulation']",,,2017-03-08
8616,Yeti Adventure,"['Action', ' Adventure', ' Casual', ' Indie']",,,2017-03-08
8637,Revolution 25th Anniversary Documentary,,,,2017-03-10
8647,Constricted VR,"['Indie', ' Simulation', ' Strategy', ' Early Access']",PNxDesigns,PNxDesigns,2017-03-12
8650,Shaun the Sheep,,,,2015-11-24
8652,Mighty Monster Mayhem,"['Action', ' Adventure', ' Casual', ' Simulation']",Rank17,Rank17,2017-04-20
8667,Heaven Forest NIGHTS,"['Action', ' Adventure']",Fabio Ferrara,Chubby Pixel,2017-03-13
8671,K Missing Kings,,,,2014-07-12
8674,World Builder,"['Casual', ' Indie', ' Simulation']","Guruji VR, Inc","Guruji VR, Inc",2017-03-14
8675,Suspended Workshops,"['Free to Play', ' Indie']",Suspended Reality,Suspended Reality,2017-12-01
8676,Masters Of Chess,['Casual'],MobileFusion Apps Ltd,MobileFusion Apps Ltd,2017-03-14
8684,GUNNVR,"['Action', ' Adventure', ' Indie', ' RPG', ' Simulation', ' Early Access']",Artificient Games Inc.,Artificient Games Inc.,2017-03-28
8686,VRCURATOR,"['Audio Production', ' Utilities']",Lobaki,Lobaki,2017-03-15
8704,,,,,
8708,,,,,
8711,Clash of Vessels VR,"['Action', ' Casual', ' Simulation', ' Strategy']",Druid Technologies,Druid Technologies,2017-03-17
8713,,,,,
8715,Hover Skate VR,"['Indie', ' Simulation', ' Sports', ' Early Access']",Hyper Light Studios,Hyper Light Studios,2017-03-17
8728,Warpaint,"['Casual', ' Indie', ' Strategy']",Adam Thompson,LADDER,2017-03-17
8733,Frontier VR,"['Adventure', ' Casual']",Gaugepunk Games,Gaugepunk Games,2017-03-16
8737,,,,,
8739,,,,,
8740,The Crooked Man,,,,2017-02-14
8741,Star Hunter VR,"['Action', ' Adventure', ' Casual', ' Indie']",LiangDeZhao,LiangDeZhao,2017-03-17
8745,Vive Video,['Utilities'],HTC Creative Labs,"HTC America Innovation, Inc.",2017-03-20
8747,Shadow Circuit,"['Action', ' Sports', ' Early Access']",WetWare / Games,WetWare / Games,2017-03-20
8772,Mech Skeleton,"['Action', ' Indie']",Heavy Kick Games,Heavy Kick Games,2017-03-21
8779,Kira,"['Casual', ' Free to Play', ' Simulation']","Bully Innovation Group, Inc.","Bully Innovation Group, Inc.",2017-03-15
8800,Chainless,"['Action', ' Adventure', ' Casual', ' Indie']",Albert MN.,Albert MN.,2017-03-24
8801,,,,,
8802,LyraVR,"['Indie', ' Early Access']",LyraVR,LyraVR,2017-03-22
8804,EmbodyMe Beta,"['Casual', ' Free to Play', ' Massively Multiplayer', ' Early Access']","Paneo, Inc.","Paneo, Inc.",2017-03-22
8807,ShapeLab,"['Animation & Modeling', ' Design & Illustration', ' Early Access']",Leopoly,Leopoly,2017-03-23
8816,,,,,
8817,Twisted Arrow,"['Action', ' Adventure']",Phaser Lock Interactive,Phaser Lock Interactive,2017-03-28
8818,,,,,
8820,,,,,
8821,,,,,
8822,,,,,
8823,,,,,
8825,,,,,
8826,,,,,
8836,Lion,,,,2017-03-21
8837,,,,,
8847,Moonatees,"['Indie', ' Simulation']",Fungi In The Basement,Fungi In The Basement,2017-03-29
8854,,,,,
8863,,,,,
8872,Aussie Sports VR,['Sports'],Mark Schramm,Reload Labs,
8877,OK Bob,"['Casual', ' Indie']",Lumen Labs,Lumen Labs,2017-03-31
8890,,,,,
8898,COMPOUND,"['Action', ' Indie']",Bevan McKechnie,Bevan McKechnie,
8914,,,,,
8916,Fort Awesome,"['Indie', ' Early Access']",Ben McNelly,"Full Bore Studios, LLC",2017-04-04
8921,Basketball Court VR,"['Casual', ' Indie', ' Sports']",Chun Y.,Chun Y.,2017-04-04
8922,Basketball Court VR Demo,"['Casual', ' Free to Play', ' Simulation']",Chun Y.,Chun Y.,2017-04-04
8923,Chaos Edge,"['Action', ' Adventure', ' RPG', ' Early Access']",LaoniuStudio,LaoniuStudio,2017-03-29
8924,VR Interior Designer Pro,"['Free to Play', ' Indie', ' Simulation']",Edgehill CGI,Edgehill CGI,2017-03-29
8930,SourVR Video Player Deluxe Edition,['Utilities'],"River Twice Co., Ltd.","River Twice Co., Ltd.",2017-04-05
8937,,,,,
8947,Xark,"['Action', ' Indie', ' RPG', ' Strategy', ' Early Access']",Spencer Malone,Spencer Malone,
8951,Aftermath,,,,2017-04-07
8964,Dungeon Escape VR,['Indie'],Silver Machine Studios,Silver Machine Studios,2017-04-07
8965,Zombie Buster VR,['Action'],jackstree,jackstree,2017-04-03
8972,Bottle Flip Challenge VR,"['Casual', ' Simulation', ' Sports']",Justin Jimmo,Squawkybird Games,2017-04-09
8973,,,,,
8974,,,,,
8977,The Thinning,,,,2016-10-12
8979,,,,,
9000,PingBall VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports']",Immersive Artz,Immersive Artz,2017-04-12
9002,,,,,
9003,TheWaveVR Beta,"['Massively Multiplayer', ' Simulation', ' Early Access']",TheWaveVR,TheWaveVR,2017-04-12
9023,,,,,
9028,,,,,
9031,EGG HUNT VR,"['Adventure', ' Casual', ' Simulation']",ThinkVirtual LLC,ThinkVirtual LLC,2017-04-14
9033,Free Enterprise,,,,1999-06-04
9038,,,,,
9044,Hello inc VR,"['Action', ' Casual', ' Indie', ' Early Access']","VRAD, Inc","VRAD, Inc",2017-04-10
9057,Altitude,,,,2017-04-14
9075,Mega Overload VR,['Action'],Subdream Studios,Subdream Studios,2017-04-18
9089,,,,,
9099,,,,,
9100,,,,,
9102,,,,,
9104,,,,,
9115,,,,,
9119,Train Harder,"['Action', ' Casual', ' Indie']",2Frogs Software,2Frogs Software,2017-04-21
9125,Trapped With the Dolls VR,"['Adventure', ' Free to Play', ' Indie']",Designated Play Space,Designated Play Space,2017-04-23
9138,Symphony of the Machine,['Indie'],Stirfire Studios,Stirfire Studios,2017-04-24
9159,Interkosmos,"['Action', ' Adventure', ' Indie', ' Simulation']",Ovid Works,Ovid Works,2017-04-25
9161,,,,,
9165,,,,,
9199,Gem Hunter,"['Action', ' Adventure', ' Indie']",FoxLeap,FoxLeap,2017-04-28
9200,Viking Rage,"['Action', ' Casual', ' Indie']",N-Gon Entertainment,Headup Games,2017-04-28
9203,Glider Island,"['Action', ' Adventure', ' Casual', ' Racing', ' Simulation', ' Sports']",Joey Sipos,5D Realities,2017-04-28
9213,The Midnight Sanctuary Demo,"['Adventure', ' Indie']",CAVYHOUSE,Carpe Fulgur,2017-05-01
9225,,,,,
9228,VectorWars VR,"['Action', ' Adventure', ' Casual', ' Indie']",Red Iron Labs,Red Iron Labs,2017-05-01
9231,VRIQ,"['Free to Play', ' Simulation']",3DIQ,3DIQ,2017-05-03
9263,,,,,
9299,Bounty Killer,"['Action', ' Indie', ' RPG', ' Early Access']",Galaxy Game Studio,Galaxy Game Studio,2017-05-09
9302,Goaltender VR,"['Casual', ' Sports', ' Early Access']",RunByCoffee,RunByCoffee,2017-05-09
9314,Blastercell,"['Action', ' Casual', ' Indie']",Robot Games,SmokinSkull,2017-05-10
9315,Puppy Doge VR,"['Casual', ' Indie', ' Simulation']",Chun Y.,Chun Y.,2017-05-10
9318,Battlezone,['Action'],Rebellion,Rebellion,2017-05-11
9322,Speed and Scream,"['Casual', ' Indie', ' Simulation']",iNFINITE Production,iNFINITE Production,2017-04-30
9354,,,,,
9356,Domain Defense VR,"['Casual', ' Indie', ' Strategy']",Inclusion Studios,Inclusion Studios,2017-05-11
9357,Void Rangers,"['Action', ' Indie']",Martin Senovsky,Martin Senovsky,2017-05-11
9362,,,,,
9363,,,,,
9364,,,,,
9365,Making of Furi,,,,2017-05-11
9384,,,,,
9385,Edge of Atlantis,"['Action', ' Adventure', ' Indie', ' RPG', ' Simulation', ' Early Access']",Creality Studio,Creality Studio,2018-02-01
9390,Super Amazeballs,"['Action', ' Adventure', ' Casual', ' Indie', ' Racing', ' Simulation']",Braincells Productions Inc.,Braincells Productions Inc.,2017-05-16
9391,,,,,
9392,,,,,
9393,Bitdude,"['Casual', ' Free to Play', ' Indie']",Will Mearns,Wicked Manatee Games,2016-01-06
9402,Disc League,"['Action', ' Indie', ' Sports', ' Early Access']",Virtually Invincible LLC,Virtually Invincible LLC,2017-05-17
9405,,,,,
9406,Deep Blue 3D Maze,"['Action', ' Adventure', ' Casual', ' Indie']",Ice Code Games,Ice Code Games,2017-05-17
9426,RUN,"['Action', ' Indie', ' Simulation']",POPSAUR,POPSAUR,2017-05-19
9428,,,,,
9429,,,,,
9432,Donut Distraction,"['Casual', ' Indie', ' Early Access']",MSFX Ltd,MSFX Ltd,2017-05-19
9433,Formula E powered by Virtually Live,"['Free to Play', ' Racing', ' Simulation', ' Sports']",Virtually Live,Virtually Live,2017-05-20
9459,,,,,
9463,CAD XR,"['Animation & Modeling', ' Design & Illustration', ' Utilities']","Lucid Sight, Inc.","Lucid Sight, Inc.",2017-05-24
9464,,,,,
9478,Everything Must Fall,"['Action', ' Adventure', ' Indie', ' Early Access']",Carry Castle,Carry Castle,2017-05-25
9479,Rock Dog,,,,2017-05-25
9483,Lone Pirate VR,"['Action', ' Adventure']",b08,b08,2017-05-26
9489,Australiens,,,,2016-06-14
9491,VR Scape,"['Action', ' Adventure', ' Indie', ' RPG', ' Early Access']",David Dimond,David Dimond,2017-05-26
9493,Dirty Dancing TV Special,,,,2017-05-25
9495,Black Butterfly,,,,2017-05-26
9499,,,,,
9502,IKEA VR Pancake Kitchen,['Free to Play'],IKEA Communications AB,IKEA Communications AB,2017-05-30
9503,,,,,
9507,BREACH IT,"['Action', ' Indie', ' Strategy', ' Early Access']",Domas Sabockis,Domas Sabockis,2017-05-30
9508,Dustoff Heli Rescue 2,"['Action', ' Casual', ' Indie']",Invictus Games Ltd.,Invictus Games Ltd.,2017-05-29
9511,,,,,
9512,,,,,
9518,Throttle Powah VR,"['Action', ' Indie', ' Racing', ' Sports', ' Early Access']",Diego F Beltran,Diego F Beltran,2017-05-30
9525,,,,,
9530,Relax Walk VR,['Simulation'],Indiecode Games,Indiecode Games,2017-06-02
9535,,,,,
9538,The Murder Room VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",Bellcat Game,Bellcat Game,2017-05-22
9539,,,,,
9551,Stunt Kite Masters VR,"['Action', ' Simulation', ' Sports']",HandyGames,HandyGames,2017-06-01
9554,,,,,
9555,FORM,"['Adventure', ' Casual', ' Indie']",Charm Games,Charm Games,2017-06-01
9558,Escape The Gray,"['Casual', ' Indie']",QRA-CS,QRA-CS,2017-06-01
9564,,,,,
9565,VRun,"['Action', ' Adventure', ' Indie', ' Sports']",Phoenix3,Mr. L,2017-06-01
9572,Microcosm,"['Indie', ' Simulation', ' Early Access']",paulstraw,paulstraw,2017-04-17
